station,valid,name,state,wfo,high,high_record_years,high_normal,high_time,low,low_record,low_record_years,low_normal,low_time,precip,precip_normal,precip_month,precip_jan1,precip_jan1_normal,precip_jul1,precip_dec1,precip_dec1_normal,precip_record,precip_record_years,precip_jan1_depart,snow,snowdepth,snow_normal,snow_month,snow_jun1,snow_jul1,snow_dec1,snow_record,snow_record_years,snow_jul1_normal,snow_dec1_normal,snow_month_normal,snow_jul1_depart
KMFE,2/3/2020,MCALLEN/MILLER INTL,TX,BRO,78,2006,73,327 PM,62,19,1951,52,613 AM,T,0.05,T,0.41,1.19,M,0.82,2.38,1.45,1986,-0.78,0,0,M,0,M,0,0,M,,M,M,M,M
KHRL,2/3/2020,HARLINGEN INTL ARPT,TX,BRO,79,1963,72,1200 PM,64,23,1951,51,346 AM,T,0.06,T,0.34,1.23,M,0.92,2.49,1.14,2010,-0.89,0,0,M,0,M,0,0,M,,M,M,M,M
KBRO,2/3/2020,BROWNSVILLE INTL,TX,BRO,79,2006,72,1059 AM,62,25,1951,53,155 AM,0.02,0.05,0.02,0.55,1.42,M,1.29,2.57,2.14,1993,-0.87,0,0,M,0,M,0,0,M,,M,M,M,M
KDRT,2/3/2020,DEL RIO INTL (AUT),TX,EWX,71,1911,66,414 PM,54,20,2011,43,630 AM,T,0.02,T,0.67,0.8,M,0.72,1.45,1.16,2010,-0.13,0,M,M,0,M,0,0,M,,M,M,M,M
KTYR,2/3/2020,TYLER/POUNDS FLD,TX,SHV,71,1911,58,229 PM,53,13,1985,38,729 AM,0.08,0.13,0.08,4.21,3.43,M,5.39,7.67,1.79,1975,0.78,0,0,M,0,M,0,0,M,,M,M,M,M
KLFK,2/3/2020,LUFKIN/ANGELINA CO.,TX,SHV,73,1911,62,118 PM,46,7,1951,40,434 AM,T,0.13,T,5.86,4.59,M,7.48,9.03,2.95,1910,1.27,M,0,M,0,M,0,0,M,,M,M,M,M
KELP,2/3/2020,EL PASO INTL ARPT,TX,EPZ,70,1890,61,343 PM,51,1,2011,35,1255 AM,0,0.01,0,0.27,0.45,M,0.99,1.23,0.78,2010,-0.18,0,0,M,0,M,T,T,M,,M,M,M,M
KVEL,2/3/2020,VERNAL,UT,GJT,29,,31,151 PM,12,M,,12,1159 PM,0.13,0.02,0.13,0.27,0.55,M,1.32,1.19,M,,-0.28,M,M,M,M,M,M,M,M,,13.1,11.5,0.4,M
KCDC,2/3/2020,CEDAR CITY MUNI,UT,SLC,47,1953,43,1248 AM,5,-11,2016,18,925 PM,0.27,0.03,0.27,0.57,0.95,M,M,M,0.56,1982,-0.38,M,M,M,M,M,M,M,M,,M,M,M,M
KCNY,2/3/2020,MOAB/CANYONLANDS,UT,GJT,47,,42,558 AM,23,M,,21,959 PM,0.04,0.02,0.04,0.37,0.69,M,1.25,1.29,M,,-0.32,M,M,M,M,M,M,M,M,,M,M,M,M
KSLC,2/3/2020,SALT LAKE CITY INTL,UT,SLC,29,1953,40,1204 AM,17,-12,1996,22,1125 PM,0.41,0.04,0.44,2.22,1.37,M,M,M,0.6,1899,0.85,8.6,5,M,9,M,33.9,M,7,1936,35.9,M,1.2,-2
KRIC,2/3/2020,RICHMOND/BYRD FIELD,VA,AKQ,72,1989,49,353 PM,45,6,1966 1917,29,440 AM,0,0.1,0.02,3.61,3.34,M,6.88,6.6,2.65,1920,0.27,0,0,M,0,M,1,M,2.5,1961,6.6,M,0.4,-5.6
KLYH,2/3/2020,LYNCHBURG/P. GLENN,VA,RNK,71,1989,47,330 PM,49,3,1917 1895,26,655 AM,0,0.1,T,3.98,3.46,M,6.83,6.7,2.34,1920,0.52,0,0,M,0,M,T,T,M,,M,M,M,M
KCHO,2/3/2020,CHARLOTTESVILLE,VA,LWX,68,,46,454 PM,51,M,,27,754 AM,0,0.07,0.02,3.59,3,M,6.13,6.15,M,,0.59,M,M,M,M,M,M,M,M,,M,M,M,M
KROA,2/3/2020,ROANOKE MUNICIPAL,VA,RNK,69,1989,47,251 PM,52,2,1917,28,859 AM,0,0.1,T,3.26,3.23,M,6.1,6.17,1.89,2014,0.03,0,0,M,0,M,1.6,1.6,M,,M,M,M,M
KORF,2/3/2020,NORFOLK INTL ARPT,VA,AKQ,75,1989,49,200 PM,47,9,1917,33,539 AM,0,0.11,0.25,3.83,3.73,M,5.86,6.99,2.44,1920,0.1,0,0,M,0,M,T,M,2.3,1970,3.8,M,0.2,-3.8
KDAN,2/3/2020,DANVILLE REGIONAL,VA,RNK,71,1989,48,411 PM,41,6,1917,30,354 AM,0,0.12,T,3.82,3.78,M,7.01,7.05,1.65,2016,0.04,0,0,M,0,M,T,T,M,,M,M,M,M
KBTV,2/3/2020,BURLINGTON INTL,VT,BTV,40,2016,28,657 PM,29,-25,1971,10,610 AM,T,0.07,T,2.61,2.26,M,4.2,4.64,0.88,1983,0.35,T,3,M,T,M,41.6,29.1,6.2,1910,46.2,40.8,1.8,-4.6
KRUT,2/3/2020,RUTLAND STATE(AWOS),VT,BTV,39,,M,MM,27,M,,M,None,T,M,T,0.84,T,M,3.13,T,M,,0.84,M,M,M,M,M,M,M,M,,M,M,M,M
K1V4,2/3/2020,ST. JOHNSBURY(AMOS),VT,BTV,39,1999,28,212 PM,20,-13,2015,6,336 AM,0,0.08,0,2.33,2.76,M,5.04,5.84,0.45,2006,-0.43,M,M,M,M,M,M,M,M,,M,M,M,M
KMPV,2/3/2020,BARRE-MONTPELIER,VT,BTV,37,,28,349 PM,22,M,,7,155 AM,0,0.08,0.01,1.85,2.69,M,4.65,5.43,M,,-0.84,M,M,M,M,M,M,M,M,,M,M,M,M
KWAL,2/3/2020,WALLOPS ISLAND STN,VA,AKQ,66,2006,45,131 PM,45,13,1971,29,705 AM,0,0.09,0.15,3.73,3.33,M,6.71,6.76,1.79,,0.4,0,M,M,0,M,T,M,2.7,1996,4.3,M,0.3,-4.3
KMWH,2/3/2020,MOSES LAKE/GRANT CO,WA,OTX,44,,40,259 PM,21,M,,26,600 AM,0,0.04,0.01,1.19,1.25,M,M,M,M,,-0.06,M,M,M,M,M,M,M,M,,M,M,M,M
KEPH,2/3/2020,EPHRATA MUNICIPAL,WA,OTX,41,2018,39,304 PM,15,-19,1950,24,503 AM,0,0.02,T,1.11,0.98,M,M,M,0.24,1990,0.13,M,M,M,M,M,M,M,M,,M,M,M,M
KDEW,2/3/2020,DEER PARK,WA,OTX,37,,36,243 PM,10,M,,22,536 AM,0,0.07,0.02,4.92,2.84,M,M,M,M,,2.08,M,M,M,M,M,M,M,M,,M,M,M,M
KGEG,2/3/2020,SPOKANE INTL ARPT,WA,OTX,34,1909,37,414 PM,19,-21,1883,26,703 AM,0,0.04,T,3.17,1.92,M,M,M,0.73,2017,1.25,0,0,M,0,M,37.1,29.6,7.1,1913,34.4,26.9,0.9,2.7
KSFF,2/3/2020,SPOKANE/FELTS FIELD,WA,OTX,37,,39,250 PM,18,M,,27,710 AM,0,0.06,T,2.76,2.14,M,M,M,M,,0.62,M,M,M,M,M,M,M,M,,M,M,M,M
KUIL,2/3/2020,QUILLAYUTE STATE,WA,SEW,42,1992,48,331 PM,27,15,1989 1972,36,807 AM,0.03,0.39,0.83,31.61,15.77,M,M,M,2.57,1974,15.84,M,M,M,M,M,M,M,M,,M,M,M,M
KBLI,2/3/2020,BELLINGHAM INTL,WA,SEW,42,1992,47,319 PM,30,5,1950,33,907 PM,0.04,0.12,0.6,7.62,5.02,M,M,M,1.39,1967,2.6,M,M,M,M,M,M,M,M,,M,M,M,M
KPUW,2/3/2020,PULLMAN/MOSCOW RGNL,WA,OTX,33,2005,39,330 PM,19,-15,1989,28,659 AM,0,0.07,0.21,3.57,2.03,M,M,M,0.63,1963,1.54,M,M,M,M,M,M,M,M,,M,M,M,M
KOLM,2/3/2020,OLYMPIA,WA,SEW,44,2009 1954,48,250 PM,26,1,1950,33,1143 PM,0,0.21,1.09,16.65,8.44,M,M,M,1.5,1968,8.21,M,M,M,M,M,M,M,M,,M,M,M,M
KSEA,2/3/2020,SEATTLE-TACOMA INTL,WA,SEW,43,1992,49,135 PM,35,8,1950,37,746 AM,0.11,0.14,1.29,10.52,5.97,M,M,M,1.29,1968,4.55,T,0,M,T,M,0.7,M,1.3,1949,M,M,M,M
KEAT,2/3/2020,WENATCHEE/PANGBORN,WA,OTX,41,2018,38,245 PM,24,-15,1996,27,810 AM,0,0.03,T,1.11,1.15,M,M,M,0.7,1998,-0.04,M,M,M,M,M,M,M,M,,M,M,M,M
KMKE,2/3/2020,MILWAUKEE,WI,MKX,43,1992 1928,30,1222 PM,32,-26,1996,17,615 AM,0,0.05,T,2.07,1.92,M,4.03,3.96,0.5,1936 1896,0.15,0,0,M,T,M,27.9,14.5,5.1,1980,29.2,26.5,1.2,-1.3
KAUW,2/3/2020,WAUSAU,WI,GRB,38,,25,106 PM,24,-32,1996,7,1159 PM,0,0.03,T,1.66,1.11,M,4.41,2.47,0.43,1949,0.55,0,16,M,0.2,M,51.9,M,4.4,1926,36.8,M,1.1,15.1
KBLF,2/3/2020,BLUEFIELD/MERCER CO,WV,RNK,60,1911,43,717 PM,39,-7,1917,27,557 AM,0,0.1,0.07,2.49,3.19,M,4.86,6.1,1.7,1923,-0.7,0,0,M,T,M,8.6,7.4,M,,M,M,M,M
KPKB,2/3/2020,PARKERSBURG/WILSON,WV,RLX,66,1927,41,409 PM,39,-4,1951,24,750 AM,T,0.1,0.07,3.44,3.25,M,M,M,1.3,1939,0.19,M,M,M,M,M,M,M,M,,M,M,M,M
KHTS,2/3/2020,HUNTINGTON/TRI STAT,WV,RLX,68,2019 1962,44,212 PM,45,-4,1951,26,800 AM,T,0.11,0.17,3.52,3.3,M,M,M,2.58,1939,0.22,0,0,M,0,M,M,M,3.3,1979,M,M,0.9,M
KCRW,2/3/2020,CHARLESTON/KANAWHA,WV,RLX,67,1903,44,1139 PM,39,-2,1951 1905,27,724 AM,0,0.1,0.22,3.78,3.32,M,M,M,2.62,1939,0.46,0,0,M,0,M,M,M,5.5,1970 2007 2002,M,M,1.2,M
KMRB,2/3/2020,MARTINSBURG RGNL,WV,LWX,68,,41,328 PM,44,M,,23,743 AM,0,0.08,0.07,3.09,2.69,M,6.09,5.4,M,,0.4,M,M,M,M,M,M,M,M,,M,M,M,M
KBKW,2/3/2020,BECKLEY MEMORIAL,WV,RLX,61,1914,41,1146 PM,37,-7,1951,24,722 AM,0,0.1,0.08,2.5,3.1,M,M,M,1.92,1939,-0.6,0,0,M,T,M,M,M,4.1,2009,M,M,2,M
KLND,2/3/2020,LANDER/HUNT FIELD,WY,RIW,19,1925,34,1248 AM,10,-26,1899,11,1123 PM,0.91,0.02,1.08,1.32,0.46,M,1.41,1.04,0.37,1961,0.86,13.1,19,M,13.8,M,50.8,18.7,M,,44.2,18.6,0.9,6.6
KEVW,2/3/2020,EVANSTON/BURNS FLD,WY,SLC,26,,29,1232 AM,4,M,,14,1045 PM,0.08,0.02,0.08,0.19,0.59,M,M,M,M,,-0.4,M,M,M,M,M,M,M,M,,M,M,M,M
KSHR,2/3/2020,SHERIDAN CO. ARPT,WY,BYZ,23,2005,37,147 PM,12,-32,1989,13,1105 PM,0.24,0.02,0.69,1.07,0.62,M,M,M,0.44,1955,0.45,M,M,M,M,M,M,M,M,,M,M,M,M
KWRL,2/3/2020,WORLAND MUNICIPAL,WY,RIW,21,2005,33,415 PM,15,-36,1996,6,1159 PM,0.12,0.01,0.21,0.36,0.25,M,0.36,0.48,0.15,1977,0.11,M,M,M,M,M,M,M,M,,M,M,M,M
KCPR,2/3/2020,CASPER/NATRONA INTL,WY,RIW,22,1953,35,1206 AM,11,-29,1989,14,1159 PM,0.24,0.02,0.27,0.75,0.57,M,1.35,1.06,0.32,1955,0.18,15.2,12,M,15.2,M,63.7,31,M,,40.6,21.1,1,23.1
KRIW,2/3/2020,RIVERTON,WY,RIW,18,2015,32,1236 AM,10,-18,1996,10,1000 PM,0.48,0,0.56,0.83,0.26,M,0.87,0.58,0.03,2015,0.57,7.2,10,M,8.6,M,27.9,13.6,M,,M,M,M,M
KGCC,2/3/2020,GILLETTE (AMOS),WY,UNR,20,,37,1055 AM,13,M,,15,1014 PM,0.2,0.01,0.3,0.85,0.43,M,1.08,0.83,M,,0.42,M,M,M,M,M,M,M,M,,M,M,M,M
KXWA,2/3/2020,WILLISTON BASIN AIRPORT,ND,BIS,23,,M,348 PM,13,M,,M,924 AM,0.01,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,M,M,,M,M,M,M
KRNK,2/3/2020,Blacksburg,VA,RNK,62,1989,43,None,40,4,1978,22,None,0,0.1,T,3.12,3.38,M,5.92,6.33,1.8,1982,-0.26,0,0,M,T,M,3,3,M,,M,M,M,M
KMQT,2/3/2020,Marquette,MI,MQT,30,1991,23,None,19,-31,1996,4,None,0,0.07,0.16,3.34,2.63,M,8.86,5.2,1.53,1983,0.71,0,36,M,2.5,M,134.9,102.7,18.4,1983,120.6,90.1,4.1,14.3
KMPX,2/3/2020,Minneapolis NWS,MN,MPX,30,,25,None,17,M,,7,None,0,0.03,0,0.78,0.96,M,2.47,2.21,M,,-0.18,0,7,M,0,M,35.6,21.6,M,,31.1,25.3,1.1,4.5
KMHS,2/3/2020,MT SHASTA CITY CA,CA,MFR,37,2009,47,349 PM,25,9,1950,27,645 AM,0,0.25,0.12,3.97,7.79,M,M,M,2.48,1958,-3.82,M,M,M,M,M,M,M,M,,55.4,M,2.1,M
KILX,2/3/2020,Lincoln NWS,IL,ILX,62,1931,35,MM,31,-19,1996,19,MM,0.01,0.06,0.02,4.3,2.1,M,5.79,4.74,0.48,1943,2.2,0,0,M,0,M,11.2,6.7,4.5,1913,13.4,12.8,0.7,-2.2
KHSE,2/3/2020,HATTERAS_(ASOS),NC,MHX,66,1989,53,1228 PM,50,15,1917,39,721 AM,0,0.15,0.44,1.89,5.7,M,7.72,9.97,2.87,1970,-3.81,0,0,M,0,M,T,M,M,,M,M,M,M
KMEI,2/3/2020,MERIDIAN/KEY FIELD,MS,JAN,76,1990,58,314 PM,43,9,1951,34,533 AM,0,0.21,T,9.31,5.76,M,13.26,10.82,6.95,1936,3.55,0,M,M,0,M,T,0,0.1,1996,0.3,0.3,0,-0.3
KISP,2/3/2020,ISLIP/MACARTHUR,NY,OKX,53,1991,39,121 PM,34,6,1971,24,611 AM,0.01,0.11,0.08,2.27,3.97,M,10.28,8.03,1.28,1972,-1.7,0,0,M,0,M,6.8,M,7,2014,13.3,M,0.7,-6.5
KJFK,2/3/2020,NEW YORK/JF KENNEDY,NY,OKX,55,1991,40,332 PM,36,6,1961,27,1240 AM,0,0.09,0.05,1.98,3.43,M,10.01,6.82,1.44,1972,-1.45,0,0,M,0,M,3.8,M,6.7,2014,12.1,M,0.9,-8.3
KGSP,2/3/2020,GREENVILLE/SPARTANB,SC,GSP,77,1989,54,305 PM,39,5,1917,33,752 AM,0,0.13,0.01,7.03,4.22,M,14.04,8.33,2.34,1998,2.81,0,0,M,0,M,0.1,0.1,1.3,1975,2.9,2.8,0.1,-2.8
KGRB,2/3/2020,GREEN BAY,WI,GRB,42,1931,25,126 PM,26,-28,1996,10,737 AM,0,0.03,T,1.62,1.22,M,4.11,2.73,0.47,1936 1924,0.4,0,5,M,T,M,42.8,28.6,6.7,1974,31.5,27.3,1.2,11.3
KPUB,2/3/2020,PUEBLO MEMORIAL(AW),CO,PUB,56,1934,48,1228 AM,19,-26,1996,15,1159 PM,0.05,0.01,0.05,0.16,0.38,M,M,M,0.38,1936,-0.22,1.6,0,M,1.6,M,22.4,M,4.3,1936,18.5,M,0.5,3.9
KLEE,2/3/2020,LEESBURG,FL,MLB,73,1990,71,453 PM,45,30,1980,50,520 AM,0,0.06,0.31,0.77,2.92,M,4.44,5.44,3.28,1970,-2.15,0,M,M,0,M,0,M,M,,M,M,M,M
KDAG,2/3/2020,BARSTOW-DAGGETT CA,CA,VEF,52,2018,63,158 PM,36,21,1972,38,855 PM,0,0.02,0,T,0.66,M,M,M,0.37,1998,-0.66,M,M,M,M,M,M,M,M,,M,M,M,M
KCXM,2/3/2020,Charleston - Downtown,SC,CHS,66,1989,58,1210 PM,51,12,1917,44,620 AM,0,0.1,0,1.06,3.23,M,9.82,5.83,2.09,1952,-2.17,M,M,M,M,M,M,M,M,,M,M,M,M
KREO,2/3/2020,ROME,OR,BOI,33,,42,441 PM,17,M,,21,1159 PM,0,0.02,0.13,0.96,0.73,M,M,M,M,,0.23,M,M,M,M,M,M,M,M,,M,M,M,M
KIAD,2/3/2020,WASHINGTON/DULLES,VA,LWX,67,1991,44,316 PM,40,1,1965,25,719 AM,0,0.1,0.1,3.43,2.98,M,6.4,5.94,1.33,2014,0.45,0,0,M,0,M,2.9,M,3.5,1996,12.3,M,1,-9.4
KIPT,2/3/2020,WILLIAMSPORT,PA,CTP,60,1991,35,350 PM,34,-6,1971,20,1127 PM,0,0.08,0.08,2.48,2.96,M,M,M,1.24,1972,-0.48,0,0,M,T,M,M,M,7.9,2004,M,M,1,M
KHIB,2/3/2020,HIBBING,MN,DLH,28,1991,20,1208 AM,0,-32,1996 1989,-3,1121 PM,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,M,M,,M,M,M,M
KBRD,2/3/2020,BRAINERD,MN,DLH,31,2005,23,1222 AM,7,-46,1982,2,1159 PM,0,0.02,0,1.1,0.83,M,3.36,1.64,0.3,1943,0.27,0,19,M,0,M,46.1,27.3,4.5,1974,28.8,20,0.7,17.3
KASX,2/3/2020,ASHLAND,WI,DLH,33,1991,23,202 AM,14,-28,1978 1946,5,1159 PM,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,M,M,,M,M,M,M
KFPR,2/3/2020,FORT PIERCE,FL,MLB,71,1933,74,232 PM,40,26,1917,51,653 AM,T,0.09,0.57,2,2.85,M,7.16,4.96,2.14,1919,-0.85,M,M,M,0,M,0,M,M,,M,M,M,M
KSFB,2/3/2020,SANFORD,FL,MLB,74,1963,72,417 PM,44,32,1951 1976,50,633 AM,0,0.05,0.07,0.56,2.77,M,4.21,5.47,2.18,1970,-2.21,0,M,M,0,M,0,M,M,,M,M,M,M
KRDG,2/3/2020,READING/SPAATZ FLD,PA,PHI,61,1983,39,343 PM,30,1,1994,21,559 AM,0,0.08,0.03,2.76,3.29,M,6.42,6.58,1.46,1875,-0.53,M,M,M,M,M,M,M,M,,M,M,M,M
KFAR,2/3/2020,FARGO,ND,FGF,28,1991,21,120 AM,-1,-36,1886 1893,1,1159 PM,0,0.02,0,0.62,0.75,M,2.34,1.58,0.43,1943,-0.13,0,12,M,0,M,42.6,28.9,5,1976,31.7,23.1,0.7,10.9
KGYX,2/3/2020,Gray NWS,ME,GYX,43,,31,MM,21,M,,13,MM,0,0.1,0,3.27,3.84,M,10.04,7.9,M,,-0.57,0,6,M,0,M,40.5,39.8,M,,44.3,41.2,1.7,-3.8
KMGM,2/3/2020,MONTGOMERY/DANNELLY,AL,BMX,78,1989 1957,59,224 PM,38,10,1951 1917,37,559 AM,0,0.19,0,6.18,5.23,M,11.79,10.09,2.16,1988,0.95,0,0,M,0,M,0,0,M,,0.1,0.1,0,-0.1
KABY,2/3/2020,ALBANY MUNICIPAL,GA,TAE,75,1989,62,447 PM,37,18,1951,39,750 AM,0,0.13,T,3.67,5.2,M,10.28,8.95,M,,-1.53,0,M,M,M,M,M,M,M,,M,M,M,M
KHKS,2/3/2020,JACKSON HAWKINS,MS,JAN,73,,58,420 PM,47,M,,38,705 AM,T,0.16,T,15.88,5.51,M,22.56,10.7,M,,10.37,M,M,M,M,M,M,M,M,,M,M,M,M
KCKB,2/3/2020,CLARKSBURG WV,WV,RLX,67,1989,41,321 PM,46,-4,1980,23,645 AM,0,0.11,0.14,3.72,3.79,M,M,M,1.37,1939,-0.07,M,M,M,M,M,M,M,M,,M,M,M,M
KTCL,2/3/2020,TUSCALOOSA MUNI,AL,BMX,75,1990,57,228 PM,38,6,1951,35,612 AM,0,0.18,0.02,6.65,5.9,M,12.07,10.52,2.7,1956,0.75,0,M,M,0,M,0,0,M,,0.3,0.3,0,-0.3
KHRI,2/3/2020,HERMISTON OR,OR,PDT,44,1909,45,400 PM,18,-29,1950,27,530 AM,0,0.05,T,0.02,1.48,M,M,M,0.4,1907,-1.48,M,M,M,M,M,M,M,M,,M,M,M,M
KEET,2/3/2020,ALABASTER,AL,BMX,73,,57,338 PM,38,M,,36,705 AM,0,0.21,0.01,6.78,5.97,M,12.08,10.77,M,,0.81,0,0,M,0,M,T,T,M,,M,M,M,M
KVUO,2/3/2020,PEARSON AIRPARK  VANCOUVER,WA,PQR,46,1963,50,318 PM,28,-3,1950,35,1153 PM,0.02,0.18,0.27,M,M,M,M,M,M,,M,M,M,M,M,M,M,M,M,,M,M,M,M
KHTL,2/3/2020,HOUGHTON LAKE,MI,APX,40,1991,27,320 PM,24,-31,1996,9,850 AM,0,0.04,0.07,1.94,1.62,M,5.2,3.27,0.3,1938,0.32,0,8,M,T,M,38.3,M,3.3,1972,43.6,M,1.5,-5.3
KOJC,2/3/2020,OLATHE (OJC),KS,EAX,65,,41,108 PM,36,M,,22,1159 PM,0,0.05,0,1.45,1.27,M,2.67,2.91,M,,0.18,M,M,M,M,M,M,M,M,,M,M,M,M
KSPD,2/3/2020,SPRINGFIELD/COMANCHE NATL GRASS,CO,PUB,48,,48,145 AM,23,M,,19,1159 PM,0,0.02,0,0.11,0.43,M,M,M,M,,-0.32,M,M,M,M,M,M,M,M,,M,M,M,M
KHSV,2/3/2020,HUNTSVILLE/MADISON,AL,HUN,71,1927,53,219 PM,40,3,1951,33,452 AM,T,0.17,0.06,7.82,5.4,M,15.55,11.17,4,1956,2.42,0,0,M,0,M,0.7,0.7,M,,M,M,M,M
KTXK,2/3/2020,TEXARKANA RGNL/WEBB,AR,SHV,66,1927,56,251 PM,48,12,1985,35,527 AM,0.04,0.12,0.04,5.33,3.76,M,6.73,8.81,2.32,1989,1.57,M,0,M,0,M,T,T,M,,M,M,M,M
KLIT,2/3/2020,LITTLE ROCK/ADAMS,AR,LZK,68,1962,52,1205 PM,49,7,1905,32,249 AM,T,0.12,T,6.84,3.92,M,8.46,8.89,2.41,1930,2.92,0,0,M,0,M,T,T,5,1905,2,2,0.2,-2
KLZK,2/3/2020,NORTH LITTLE ROCK,AR,LZK,65,2019,52,111 PM,53,6,1985,34,728 AM,T,0.12,T,7,3.79,M,8.84,8.8,1.72,1997,3.21,0,0,M,0,M,T,T,0.1,1980,2.4,2.4,0.2,-2.4
KCCU,2/3/2020,COPPER MTN CO,CO,BOU,32,,M,300 AM,9,M,,M,1100 PM,M,M,M,M,M,M,M,M,M,,M,0,0,M,M,M,M,M,M,,M,M,M,M
KFNL,2/3/2020,FT COLLINS/LOVELAND CO,CO,BOU,32,,M,MM,14,M,,M,MM,M,M,M,M,M,M,M,M,M,,M,M,0,M,M,M,M,M,M,,M,M,M,M
K20V,2/3/2020,KREMMLING,CO,BOU,41,,M,1200 PM,16,M,,M,1100 PM,M,M,M,M,M,M,M,M,M,,M,0,0,M,M,M,M,M,M,,M,M,M,M
KGXY,2/3/2020,GREELEY  CO,CO,BOU,31,,M,MM,16,M,,M,MM,M,M,M,M,M,M,M,M,M,,M,M,0,M,M,M,M,M,M,,M,M,M,M
KBDU,2/3/2020,BOULDER AIRPORT,CO,BOU,32,,M,200 AM,18,M,,M,1100 PM,M,M,M,M,M,M,M,M,M,,M,M,0,M,M,M,M,M,M,,M,M,M,M
KEKA,2/3/2020,EUREKA,CA,EKA,49,2000,56,None,34,30,1979,41,None,0,0.2,0.35,7.85,7.1,M,M,M,4.81,1890,0.75,0,0,M,0,M,0,0,0,2002,T,T,0,0
KRHI,2/3/2020,RHINELANDER,WI,GRB,33,1991,23,1058 AM,20,-42,1996,4,1159 PM,0,0.03,T,1.8,1.2,M,5.3,2.64,0.98,2003,0.6,0,17,M,T,M,66.5,48.4,8,2003,M,M,M,M
KNYL,2/3/2020,YUMA MCAS,AZ,PSR,60,1963,72,327 PM,48,29,1903,49,1159 PM,0,0.02,0,0.06,0.41,M,M,M,1.2,1877,-0.41,M,M,M,M,M,M,M,M,,M,M,M,M
KMCE,2/3/2020,MERCED/MACREADY FLD,CA,HNX,55,2018 2000,57,314 PM,32,26,2002,38,1156 PM,0,0.07,0,0.73,2.8,M,M,M,0.53,2000,-2.07,0,0,M,0,M,0,0,M,,M,M,M,M
KPRB,2/3/2020,PASO ROBLES MUNI,CA,LOX,55,2018,61,319 PM,27,25,1985,37,1154 PM,0,0.09,0,0.6,3.02,M,M,M,0.9,1998,-2.42,0,M,M,0,M,0,0,M,,M,M,M,M
KHJO,2/3/2020,HANFORD,CA,HNX,54,2000,58,342 PM,32,29,2012 2002,38,1159 PM,0,0.05,0,0.81,2.17,M,M,M,0.33,2017,-1.36,0,0,M,0,M,0,0,M,,M,M,M,M
KBFL,2/3/2020,BAKERSFIELD/MEADOWS,CA,HNX,53,2009,60,341 PM,32,25,1923 1922,41,633 AM,0,0.04,0,0.24,1.29,M,M,M,1.01,1911,-1.05,0,0,M,0,M,0,0,M,,M,M,M,M
KWJF,2/3/2020,LANCASTER/FOX FIELD,CA,LOX,50,2018,60,309 PM,25,11,1948,33,1119 PM,0,0.06,T,0.08,1.68,M,M,M,1.26,1998,-1.68,0,0,M,0,M,0,0,1.2,1979,M,M,M,M
KPMD,2/3/2020,PALMDALE PRODUCTION,CA,LOX,48,2018,60,349 PM,26,14,1972,33,1159 PM,0,0.04,0,0.04,1.7,M,M,M,1.08,1945,-1.7,0,0,M,0,M,0,0,T,1949,M,M,M,M
KITR,2/3/2020,BURLINGTON,CO,GLD,36,1962,43,1202 AM,19,-18,1989,17,1159 PM,T,0.01,T,0.32,0.41,M,0.7,0.84,M,,-0.09,M,M,M,M,M,M,M,M,,M,M,M,M
KP60,2/3/2020,YELLOWSTONE (RAMOS),WY,RIW,12,2000,25,358 PM,-11,-20,2017,1,947 PM,0.15,0.05,0.68,3.49,2.25,M,4.84,3.75,0.62,2019,1.24,M,M,M,M,M,M,M,M,,M,M,M,M
KEYW,2/3/2020,Key West,FL,KEY,73,1957,75,1123 PM,55,44,1917,65,521 AM,0,0.06,0.29,1.59,2.21,M,9.3,4.43,1.01,1970,-0.62,0,0,M,0,M,0,0,M,,M,M,M,M
KMYF,2/3/2020,SAN DIEGO/MONTGOMERY FLD,CA,SGX,63,2009,65,1213 PM,49,36,2002,46,1158 PM,0.01,0.04,0.01,0.35,2.81,M,M,M,0.56,2008,-2.46,M,M,M,M,M,M,M,M,,M,M,M,M
PANC,2/3/2020,ANCHORAGE AK,AK,AFC,26,2003,24,1159 PM,13,-26,1999,12,1200 AM,T,0.02,T,0.7,0.81,M,1.68,1.92,0.53,2012,-0.11,T,10,M,T,M,47,36,9.1,2012,50.7,29.3,1.3,-3.7
KLNK,2/3/2020,LINCOLN,NE,OAX,36,1934,37,1214 AM,28,-22,1996,15,1159 PM,0,0.03,0,1.29,0.72,M,3.86,1.67,0.73,1903,0.57,0,0,M,0,M,9.7,7.3,3.4,2003,14.7,11.9,0.6,-5
KOMA,2/3/2020,OMAHA/EPPLEY,NE,OAX,35,1934,35,211 PM,27,-20,1996,15,1159 PM,0,0.03,0,1.3,0.8,M,3.4,1.84,0.46,1903,0.5,0,0,M,0,M,13.8,11.6,M,,15.8,13,0.7,-2
KOFK,2/3/2020,NORFOLK,NE,OAX,33,1962,34,1246 PM,24,-21,1996,13,1159 PM,0,0.02,0,0.99,0.66,M,2.09,1.41,0.6,1903,0.33,0,0,M,0,M,21.9,11.6,M,,18,13.1,0.7,3.9
