station,valid,name,state,wfo,high,high_record_years,high_normal,high_time,low,low_record,low_record_years,low_normal,low_time,precip,precip_normal,precip_month,precip_jan1,precip_jan1_normal,precip_jul1,precip_dec1,precip_dec1_normal,precip_record,precip_record_years,precip_jan1_depart,snow,snowdepth,snow_normal,snow_month,snow_jun1,snow_jul1,snow_dec1,snow_record,snow_record_years,snow_jul1_normal,snow_dec1_normal,snow_month_normal,snow_jul1_depart
KSSI,2/3/2020,BRUNSWICK/MALCOLM,GA,JAX,71,1989,62,129 PM,46,27,1994,44,729 AM,0,0.12,0,1.53,3.57,M,9.91,6.21,1.29,1963,-2.04,0,M,M,M,M,M,M,0,,M,M,M,M
KFFC,2/3/2020,PEACHTREE CITY,GA,FFC,78,,56,348 PM,35,M,,33,615 AM,0,0.14,0,8.03,4.65,M,15.24,8.79,M,,3.38,0,0,M,0,M,0,0,M,,M,M,M,M
KGVL,2/3/2020,GAINSVILLE,GA,FFC,73,,52,442 PM,45,M,,34,234 AM,0,0.14,0,7.52,5.52,M,12.15,10.02,M,,2,0,0,M,0,M,0,0,M,,M,M,M,M
KATL,2/3/2020,ATLANTA INTL ARPT,GA,FFC,76,1995,54,404 PM,42,2,1917,36,619 AM,0,0.17,0,8.01,4.71,M,13.15,8.61,3.1,1920,3.3,0,0,M,0,M,0,0,T,2011,1.8,1.8,0.1,-1.8
KCSG,2/3/2020,COLUMBUS METRO ARPT,GA,FFC,75,1989 1957 1923,60,434 PM,37,10,1917,38,550 AM,0,0.15,T,7.53,4.3,M,15.58,8.57,2.41,1920,3.23,0,0,M,0,M,0,0,0,2002,0.3,0.3,0,-0.3
KAGS,2/3/2020,AUGUSTA/BUSH FIELD,GA,CAE,78,1989,60,415 PM,34,9,1917,34,736 AM,0,0.13,0,4.56,4.31,M,12.68,7.7,2.34,1982,0.25,0,M,M,0,M,0,0,M,,0.5,0.5,0,-0.5
KDNL,2/3/2020,AUGUSTA,GA,CAE,77,,58,353 PM,47,M,,39,736 AM,0,0.11,0,4.19,4.56,M,15.53,8.18,M,,-0.37,M,M,M,M,M,M,M,M,,M,M,M,M
KSAV,2/3/2020,SAVANNAH MUNICIPAL,GA,CHS,77,1990 1989,62,331 PM,41,13,1917,40,644 AM,0,0.11,0,1.65,4.01,M,8.47,6.96,1.8,1875,-2.36,0,M,M,M,M,0,0,M,,0.2,0.2,M,-0.2
KFTY,2/3/2020,ATLANTA/FULTON CO.,GA,FFC,76,,55,423 PM,34,M,,34,728 AM,0,0.15,T,7.82,4.72,M,12.66,8.71,M,,3.1,0,0,M,0,M,0,0,M,,M,M,M,M
KMCN,2/3/2020,MACON/LEWIS WILSON,GA,FFC,77,1989,60,402 PM,32,8,1917,36,638 AM,0,0.15,T,4.13,4.69,M,12.8,8.73,2.95,1982,-0.56,0,0,M,0,M,0,0,0,2002,0.5,0.5,0,-0.5
KAMW,2/3/2020,Ames,IA,DMX,35,,31,248 PM,26,M,,12,1209 AM,0,0.03,0,M,M,M,M,M,M,,M,M,M,M,M,M,M,M,M,,M,M,M,M
KALO,2/3/2020,Waterloo,IA,DMX,37,1934 1928,29,119 PM,19,-31,1996,11,404 AM,0,0.03,0,1.38,0.92,M,2.3,2.12,0.48,1943,0.46,0,6,M,0,M,26.5,18.5,3.7,2016,22.4,19,0.9,4.1
KOTM,2/3/2020,OTTUMWA,IA,DMX,39,1992,33,308 PM,30,-27,1996,15,759 AM,0,0.03,0,2.39,0.99,M,3.42,2.36,0.88,1943,1.4,M,M,M,M,M,M,M,M,,M,M,M,M
KCID,2/3/2020,CEDAR RAPIDS,IA,DVN,39,1992,30,217 PM,24,-26,1996,12,154 AM,0,0.04,0,1.7,1.03,M,2.92,2.45,0.9,1901,0.67,M,M,M,M,M,M,M,M,,M,M,M,M
KBRL,2/3/2020,BURLINGTON,IA,DVN,47,1992,36,146 PM,34,-26,1996,18,654 AM,0,0.05,0,2.1,1.38,M,3.22,3.47,M,,0.72,M,M,M,M,M,M,M,M,,M,M,M,M
KDVN,2/3/2020,QUAD CITIES,IA,DVN,42,,31,122 PM,27,M,,15,131 AM,0,0.04,T,1.93,1.31,M,3.21,3.04,M,,0.62,0,1,M,T,M,25.2,15.8,M,,M,M,M,M
KSUX,2/3/2020,SIOUX CITY,IA,FSD,33,1934,32,1232 PM,22,-20,1905,12,1146 PM,0,0.02,0,0.91,0.68,M,2.87,1.48,0.65,1997,0.23,0,1,M,0,M,19.5,11.5,7,1997,20.6,15.2,0.7,-1.1
KMIW,2/3/2020,MARSHALLTOWN,IA,DMX,35,,29,135 PM,24,M,,11,144 AM,0,0.02,0,M,M,M,M,M,M,,M,M,M,M,M,M,M,M,M,,M,M,M,M
KBOI,2/3/2020,BOISE MUNICIPAL,ID,BOI,38,2018,41,402 PM,25,-11,1883,27,1159 PM,0,0.03,0.02,2.31,1.34,M,M,M,0.87,1881,0.97,0,0,M,T,M,12.7,M,3.2,2008,15.2,M,0.4,-2.5
KLWS,2/3/2020,LEWISTON (AMOS),ID,OTX,40,2018,44,242 PM,21,-12,1883,31,641 AM,0,0.02,T,1.61,1.16,M,M,M,0.94,2019,0.45,0,0,M,0,M,11,10.2,7,1913,7.9,6.1,0.2,3.1
KPIH,2/3/2020,POCATELLO MUNICIPAL,ID,PIH,26,1953,34,428 PM,6,-23,1979,17,1159 PM,0.15,0.03,0.38,1.5,1.08,M,M,M,0.3,1978,0.42,3.7,5,M,7.1,M,29.2,24,M,,M,M,M,M
KBYI,2/3/2020,BURLEY MUNICIPAL,ID,PIH,30,1953,37,409 PM,14,-15,1979,20,1140 PM,T,0.02,T,1.14,0.98,M,M,M,0.4,1945,0.16,M,M,M,M,M,M,M,M,,M,M,M,M
KMYL,2/3/2020,MC CALL,ID,BOI,25,1995 2018,31,342 PM,5,-28,1950,11,930 PM,0,0.07,0.21,4.94,1.95,M,M,M,0.8,1925,2.99,M,M,M,M,M,M,M,M,,M,M,M,M
KSNT,2/3/2020,STANLEY RANGER STATION,ID,PIH,21,1978,30,232 PM,-14,-39,1996,2,1124 PM,0,0.08,0.19,2.02,1.74,M,M,M,0.4,1968,0.28,M,M,M,M,M,M,M,M,,M,M,M,M
KRXE,2/3/2020,REXBURG-MADISON COUNTY AIRPORT,ID,PIH,27,2018,29,258 PM,2,-8,2011,10,1159 PM,T,0.03,0.08,2.24,0.82,M,M,M,M,,1.42,M,M,M,M,M,M,M,M,,M,M,M,M
KIDA,2/3/2020,IDAHO FALLS/FANNING,ID,PIH,24,1953,30,423 PM,2,-16,1985,12,1045 PM,M,0.02,T,0.41,0.75,M,M,M,0.31,2019,-0.34,M,M,M,M,M,M,M,M,,M,M,M,M
KMLI,2/3/2020,Moline,IL,DVN,44,1992,32,243 PM,26,-28,1996,15,352 AM,0,0.04,T,2.58,1.62,M,4.18,3.8,0.93,1901,0.96,0,T,M,0,M,25.7,16.4,M,,20.8,19.6,0.9,4.9
KDEC,2/3/2020,DECATUR,IL,ILX,67,,36,109 PM,31,M,,20,621 AM,T,0.05,0.01,3.78,1.9,M,5.06,4.44,M,,1.88,M,M,M,M,M,M,M,M,,M,M,M,M
KMDW,2/3/2020,CHICAGO,IL,LOT,47,1992,33,1221 PM,30,-17,1996,19,552 AM,0,0.06,0.04,2.52,2.23,M,3.68,4.8,0.43,1961,0.29,M,M,M,M,M,M,M,M,,M,M,M,M
KPWK,2/3/2020,PALWAUKEE,IL,LOT,45,2019 1999,32,1236 PM,28,-6,2007,18,656 AM,0,0.03,0.02,2.2,1.72,M,3.52,3.55,0.21,2006,0.48,M,M,M,M,M,M,M,M,,M,M,M,M
KDPA,2/3/2020,CHICAGO/DUPAGE,IL,LOT,48,2006 2003,33,115 PM,24,-12,2011,17,653 AM,0,0.04,0.01,2.29,1.42,M,3.67,3.14,0.37,,0.87,M,M,M,M,M,M,M,M,,M,M,M,M
KCMI,2/3/2020,CHAMPAIGN/URBANA,IL,ILX,65,,35,200 PM,32,M,,18,1207 AM,0,0.06,T,3.24,2.24,M,3.99,4.76,M,,1,M,M,M,M,M,M,M,M,,M,M,M,M
KGEZ,2/3/2020,SHELBYVILLE,IN,IND,69,,37,354 PM,34,M,,22,440 AM,0,0.08,0,5.63,2.63,M,9.16,5.9,M,,3,M,M,M,M,M,M,M,M,,M,M,M,M
KBMG,2/3/2020,Bloomington,IN,IND,71,,40,334 PM,34,M,,21,659 AM,T,0.1,T,6.5,3.61,M,9.72,7.15,M,,2.89,M,M,M,M,M,M,M,M,,M,M,M,M
KEYE,2/3/2020,INDIANAPOLIS,IN,IND,66,,37,539 PM,34,M,,22,643 AM,0,0.06,T,3.24,2.39,M,5.47,5.47,M,,0.85,M,M,M,M,M,M,M,M,,M,M,M,M
KSBN,2/3/2020,SOUTH BEND,IN,IWX,55,1991 1931,32,324 PM,26,-13,1996,18,530 AM,0,0.07,0.01,4.83,2.48,M,7.01,5.09,0.5,1901,2.35,0,0,M,T,M,20.5,13.5,5.1,1949,45.1,39.9,2,-24.6
KEVV,2/3/2020,EVANSVILLE,IN,PAH,70,1924,43,1255 PM,39,-8,1965 1985,25,147 AM,T,0.12,T,5.58,3.46,M,8.51,7.22,1.35,1939,2.12,0,0,M,0,M,1.1,T,3.4,1982,7.3,7,0.4,-6.2
KVPZ,2/3/2020,VALPARAISO,IN,LOT,54,2019,32,319 PM,27,-5,2011 2007,17,537 AM,0,0.05,0.02,3.88,1.88,M,5.81,4.06,0.22,2003,2,M,M,M,M,M,M,M,M,,M,M,M,M
KFWA,2/3/2020,FORT WAYNE,IN,IWX,57,2016,33,241 PM,29,-12,1985 1902,18,627 AM,0,0.07,0.01,4.08,2.47,M,6.91,5.24,0.78,1952,1.61,0,0,M,T,M,13.5,6.6,6.7,1982,21.7,19.6,1,-8.2
KLAF,2/3/2020,LAFAYETTE,IN,IND,62,,36,648 PM,29,M,,20,454 AM,0,0.06,0.02,3.87,2.03,M,6.24,4.54,M,,1.84,M,M,M,M,M,M,M,M,,M,M,M,M
KFFT,2/3/2020,CAPITAL CITY AIRPORT/FRANKFORT,KY,LMK,69,2020 2019,44,343 PM,41,-11,1951,25,314 AM,T,0.11,0.01,3.91,3.59,M,8.23,7.6,1.6,1989,0.32,M,M,M,M,M,M,M,M,,M,M,M,M
KBWG,2/3/2020,BOWLING GREEN,KY,LMK,73,2020,47,316 PM,46,-18,1951,27,154 AM,T,0.15,T,4.76,4.05,M,10.22,8.85,2.5,1923,0.71,0,0,M,0,M,1.3,T,3,1979,5,5,0.5,-3.7
KPAH,2/3/2020,PADUCAH/BARKLEY,KY,PAH,71,1992 2019,46,1248 PM,52,-8,1985,27,704 AM,0.11,0.15,0.11,5.76,4.12,M,7.87,8.71,1.68,1939,1.64,0,0,M,0,M,1.2,T,3,1982,5.7,5.6,0.4,-4.5
KLOU,2/3/2020,LOUISVILLE/BOWMAN,KY,LMK,72,,44,439 PM,44,M,,27,131 AM,T,0.11,0.01,3.86,3.73,M,7.45,7.74,M,,0.13,M,M,M,M,M,M,M,M,,M,M,M,M
KSDF,2/3/2020,LOUISVILLE/STANDIFO,KY,LMK,74,2020,45,429 PM,46,-9,1951,28,639 AM,T,0.12,T,4.05,3.6,M,7.68,7.43,1.29,1887,0.45,0,0,M,0,M,1.5,0.5,4.5,1939,7.1,6.9,0.6,-5.6
KLOZ,2/3/2020,LONDON-CORBIN ARPT,KY,JKL,70,1962,47,255 PM,38,-10,1965,27,452 AM,T,0.12,0.11,5.38,3.92,M,11.73,8.16,1.51,1990,1.46,M,M,M,M,M,M,M,M,,M,M,M,M
KLEX,2/3/2020,LEXINGTON/BLUEGRASS,KY,LMK,66,1890,43,434 PM,44,-8,1951,26,447 AM,T,0.12,0.13,3.74,3.55,M,9.71,7.48,0.95,2016,0.19,0,0,M,0,M,1.8,T,3.8,2014,7.3,7,0.6,-5.5
KNEW,2/3/2020,NEW ORLEANS/LAKEFRO,LA,LIX,72,1957,63,424 PM,51,19,1951,46,458 AM,0,0.19,0,4.41,5.73,M,7.24,10.97,2.25,1988,-1.32,0,0,M,0,M,0,0,M,,M,M,M,M
KMLU,2/3/2020,MONROE REGIONAL,LA,SHV,71,1927,59,356 PM,50,3,1951,37,719 AM,T,0.16,T,9.99,5.5,M,13.78,10.79,1.76,1956,4.49,0,0,M,0,M,0,0,M,,M,M,M,M
KLFT,2/3/2020,LAFAYETTE REGIONAL,LA,LCH,72,1927,63,158 PM,49,13,1951,44,705 AM,0,0.18,0,6.46,6.21,M,8.93,11.79,2.06,1956,0.25,0,0,M,0,M,0,0,0,,0,0,0,0
KLCH,2/3/2020,LAKE CHARLES MUNI,LA,LCH,73,1927 1914 1911,63,235 PM,50,16,1951,44,726 AM,0,0.12,0,6.28,5.63,M,7.26,10.31,1.53,1960,0.65,0,0,M,0,M,0,0,T,1996 1985,T,T,0,0
KBTR,2/3/2020,BATON ROUGE/RYAN,LA,LIX,72,1943 1990,64,324 PM,49,13,1951,42,226 AM,0,0.19,0,5.17,6.31,M,7.98,11.91,2.2,1977,-1.14,0,0,M,0,M,0,0,M,,M,M,M,M
KAEX,2/3/2020,ALEXANDRIA INTL/ENGLAND AFB,LA,LCH,73,1974,61,242 PM,48,6,1951,39,602 AM,T,0.15,T,8.97,5.69,M,12.6,11.81,3.21,2012,3.28,0,0,M,0,M,0,0,T,1937 1916,M,M,M,M
KARA,2/3/2020,NEW IBERIA/ACADIANA,LA,LCH,72,1957,64,215 PM,48,17,1951,44,422 AM,0,0.13,0,8.69,5.6,M,10.72,10.6,1.61,1959,3.09,0,M,M,0,M,0,0,0,,M,M,M,M
KSHV,2/3/2020,SHREVEPORT REGIONAL,LA,SHV,70,1911,59,439 PM,48,14,1951,37,626 AM,T,0.16,T,7.97,4.68,M,9.75,9.45,2.97,1882,3.29,M,0,M,0,M,T,T,M,,M,M,M,M
KORH,2/3/2020,WORCESTER (AMOS),MA,BOX,42,1991,32,354 PM,27,-7,1971 1955 1931,18,310 AM,0,0.11,0.01,2.11,3.83,M,9.16,7.65,2.16,1970,-1.72,0,M,M,0.3,M,32.8,32.8,5.2,1916,36.1,33.3,1.8,-3.3
KSBY,2/3/2020,SALISBURY REGIONAL,MD,AKQ,66,1939,45,228 PM,33,5,1978,27,722 AM,0,0.12,0.01,3.34,3.97,M,4.67,7.68,2.4,1996,-0.63,0,0,M,0,M,0.5,M,2.1,1996,5.5,M,0.5,-5
KBWI,2/3/2020,BALTIMORE/WASH INTL,MD,LWX,67,1932,43,321 PM,30,4,1961,25,552 AM,0,0.1,0.11,3.22,3.36,M,6.79,6.73,1.34,2014,-0.14,0,0,M,0,M,1.8,M,9.6,1961,11.2,M,1,-9.4
KCAR,2/3/2020,CARIBOU MUNICIPAL,ME,CAR,36,1970,21,150 PM,15,-24,1971,1,606 AM,T,0.08,T,3.18,2.95,M,6.09,6.22,1.11,1968,0.23,0.1,16,M,0.1,M,72.5,49.5,8.3,1969,62.8,50.6,2.5,9.7
KFVE,2/3/2020,FRENCHVILLE,ME,CAR,32,,18,226 PM,17,M,,1,710 AM,T,0.02,T,1.67,1.82,M,3.15,4.36,M,,-0.15,M,M,M,M,M,M,M,M,,M,M,M,M
KPWM,2/3/2020,PORTLAND INTL JET,ME,GYX,47,1991,32,337 PM,22,-25,1971,14,328 AM,0,0.1,T,3.53,3.7,M,12.01,7.72,1.62,1880,-0.17,0,2,M,T,M,41.1,40.8,9.3,1969,35.7,33.8,1.4,5.4
